Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-4173.595	-4597.509	423.914	1.533474	2.253569
6	-4186.263	-4609.851	423.5878	1.471604	2.499352
12	-4178.594	-4602.946	424.3524	1.587583	1.929724
18	-4189.535	-4613.652	424.1179	1.598964	2.078388
24	-4198.682	-4623.284	424.6016	1.739889	1.651001
30	-4188.115	-4612.953	424.8384	1.731469	1.483222
36	-4179.299	-4603.417	424.1182	1.719306	1.998457
42	-4168.563	-4592.072	423.509	1.410915	2.586165
48	-4180.911	-4604.398	423.4874	1.452953	2.573508
54	-4178.382	-4601.501	423.1196	1.448594	2.802151
60	-4178.918	-4602.72	423.8026	1.445155	2.380882
66	-4166.934	-4590.502	423.5681	1.418135	2.544995
72	-4165.089	-4588.447	423.3579	1.32019	2.73504
78	-4161.709	-4584.499	422.7899	1.421632	3.017488
84	-4169.238	-4592.619	423.3812	1.464581	2.632019
90	-4169.588	-4593.286	423.6975	1.437419	2.452012
96	-4176.175	-4598.821	422.6466	1.477324	3.069908
102	-4168.12	-4591.986	423.8659	1.527586	2.288163
108	-4162.084	-4584.964	422.8794	1.394243	2.980191
114	-4162.378	-4585.046	422.6682	1.444258	3.076737
120	-4168.89	-4592.136	423.2455	1.49201	2.698666
126	-4175.533	-4599.499	423.9661	1.527899	2.223619
132	-4179.015	-4602.5	423.4852	1.443211	2.580923
138	-4186.787	-4610.272	423.4851	1.46741	2.565949
144	-4186.548	-4610.22	423.6728	1.473373	2.444981
150	-4172.972	-4596.739	423.7669	1.450374	2.400193
156	-4176.283	-4600.283	424.0003	1.477099	2.234287
162	-4178.404	-4602.792	424.3885	1.579662	1.910656
168	-4172.587	-4596.893	424.3057	1.560316	1.979419
174	-4185.394	-4609.996	424.602	1.60201	1.74837
180	-4183.84	-4608.292	424.4518	1.604512	1.850666
186	-4188.324	-4612.682	424.358	1.589616	1.924597
192	-4174.496	-4599.03	424.5336	1.731632	1.705315
198	-4182.94	-4607.373	424.4331	1.623626	1.850371
204	-4179.802	-4604.523	424.7206	1.679018	1.609055
210	-4181.614	-4606.391	424.7774	1.622207	1.609055
216	-4175.729	-4600.428	424.6994	1.579339	1.695727
222	-4168.207	-4592.073	423.8661	1.487409	2.31371
228	-4163.703	-4587.499	423.7966	1.556933	2.31371
234	-4177.092	-4601.437	424.3452	1.59751	1.927881
240	-4174.493	-4599.11	424.6169	1.59751	1.741051
246	-4184.396	-4608.698	424.3023	1.446899	2.057104
252	-4182.264	-4605.747	423.4833	1.380093	2.621142
258	-4170.819	-4595.175	424.3559	1.439755	2.026322
264	-4179.123	-4603.177	424.0534	1.514022	2.176073
270	-4176.96	-4600.398	423.4375	1.446283	2.608544
276	-4173.287	-4596.914	423.6268	1.409113	2.514039
282	-4182.547	-4605.973	423.4265	1.387481	2.651612
288	-4176.514	-4600.527	424.0126	1.363157	2.299489
294	-4176.518	-4600.286	423.7687	1.570435	2.322888
300	-4174.198	-4598.824	424.6266	1.622631	1.716601
306	-4165.231	-4589.726	424.495	1.681846	1.767328
312	-4169.638	-4594.49	424.8518	1.694993	1.500554
318	-4160.719	-4584.932	424.2131	1.562885	2.039371
324	-4160.341	-4584.898	424.5573	1.594864	1.784548
330	-4164.795	-4589.371	424.5768	1.615373	1.756652
336	-4174.455	-4598.901	424.4461	1.582584	1.869566
342	-4181.778	-4606.28	424.5026	1.586144	1.828364
348	-4190.657	-4615.224	424.5664	1.498421	1.844828
354	-4192.308	-4616.499	424.1913	1.57382	2.04654
360	-4192.465	-4616.686	424.2216	1.486994	2.083846
366	-4191.969	-4615.218	423.2496	1.346038	2.785391
372	-4200.599	-4624.534	423.9353	1.419003	2.313211
378	-4187.781	-4610.424	422.6433	1.348259	3.148787
384	-4178.588	-4602.472	423.8832	1.464789	2.31722
390	-4181.906	-4606.24	424.334	1.50016	2.000708
396	-4198.741	-4622.976	424.235	1.508913	2.060575
402	-4187.921	-4612.508	424.5868	1.524088	1.813115
408	-4184.296	-4608.985	424.6892	1.582182	1.700903
414	-4189.156	-4614.087	424.9307	1.748371	1.399586
420	-4185.686	-4610.486	424.8002	1.646075	1.575052
426	-4182.839	-4607.813	424.9739	1.659887	1.434597
432	-4185.92	-4610.822	424.9019	1.731903	1.434597
438	-4186.791	-4611.833	425.0419	1.684973	1.362157
444	-4177.546	-4602.18	424.6339	1.530108	1.776286
450	-4177.057	-4601.69	424.6332	1.530108	1.776774
456	-4181.373	-4605.843	424.4701	1.560347	1.868317
462	-4174.054	-4598.353	424.2992	1.560347	1.983748
468	-4167.117	-4591.471	424.3537	1.505844	1.983748
474	-4179.529	-4604.131	424.6019	1.552848	1.782731
480	-4184.809	-4608.88	424.071	1.60105	2.107831
486	-4189.178	-4613.364	424.186	1.525475	2.081964
492	-4191.456	-4615.178	423.7218	1.471242	2.415432
498	-4181.394	-4605.203	423.8084	1.427224	2.388572
504	-4183.646	-4608.235	424.5893	1.554234	1.790516
510	-4189.532	-4613.828	424.2963	1.55455	1.989559
516	-4198.32	-4622.769	424.4498	1.518065	1.910913
522	-4192.031	-4615.803	423.772	1.417301	2.417801
528	-4178.792	-4602.35	423.5577	1.410369	2.556253
534	-4171.936	-4595.015	423.0787	1.378772	2.869353
540	-4169.674	-4593.669	423.9954	1.352764	2.317138
546	-4168.975	-4593.594	424.6189	1.523399	1.791405
552	-4171.938	-4595.462	423.524	1.487954	2.528993
558	-4169.244	-4593.174	423.9301	1.390687	2.334537
564	-4181.031	-4605.385	424.3541	1.503849	1.984797
570	-4175.484	-4599.332	423.8474	1.41104	2.374153
576	-4172.074	-4595.442	423.3682	1.342466	2.715149
582	-4182.522	-4606.523	424.0014	1.488793	2.226055
588	-4185.205	-4609.612	424.4068	1.515794	1.941431
594	-4178.466	-4603.128	424.6615	1.661401	1.664299
600	-4177.766	-4602.283	424.5165	1.609253	1.802816
606	-4181.302	-4606.287	424.9844	1.785768	1.32769
612	-4177.065	-4602.059	424.9945	1.781815	1.322705
618	-4182.769	-4607.7	424.931	1.772301	1.380633
624	-4182.253	-4606.809	424.5558	1.650069	1.747063
630	-4183.161	-4607.801	424.6397	1.75862	1.609991
636	-4177.119	-4601.893	424.7742	1.677015	1.571445
642	-4174.82	-4599.094	424.2741	1.493117	2.04516
648	-4180.988	-4603.967	422.9793	1.444254	2.889855
654	-4175.266	-4599.287	424.0213	1.457148	2.233616
660	-4174.339	-4599.181	424.8415	1.628135	1.557905
666	-4172.122	-4596.964	424.8415	1.628135	1.557905
672	-4179.739	-4604.578	424.8389	1.63071	1.557905
678	-4186.804	-4611.096	424.2921	1.56665	1.984267
684	-4185.813	-4610.148	424.3345	1.508284	1.994973
690	-4185.025	-4609.431	424.406	1.567636	1.907
696	-4187.157	-4610.736	423.5791	1.464855	2.509007
702	-4178.772	-4602.35	423.5779	1.462464	2.511226
708	-4194.781	-4617.864	423.0835	1.412724	2.845835
714	-4181.833	-4605.974	424.1409	1.492143	2.13337
720	-4182.26	-4606.313	424.053	1.420473	2.236833
726	-4184.026	-4607.963	423.9364	1.416974	2.313787
732	-4178.066	-4602.492	424.4254	1.459791	1.966565
738	-4170.762	-4595.275	424.5127	1.524067	1.864041
744	-4179.996	-4604.19	424.1947	1.619587	2.013908
750	-4179.347	-4603.685	424.3378	1.476508	2.013908
756	-4171.119	-4595.01	423.8916	1.448539	2.322207
762	-4170.509	-4593.811	423.3022	1.508519	2.653649
768	-4170.487	-4594.528	424.0417	1.513704	2.183898
774	-4166.203	-4590.295	424.0921	1.463283	2.183898
780	-4179.904	-4603.987	424.0829	1.503548	2.163752
786	-4175.48	-4599.026	423.5463	1.522219	2.493624
792	-4177.427	-4601.14	423.7128	1.370887	2.484178
798	-4171.998	-4596.225	424.2271	1.408119	2.131947
804	-4185.76	-4609.539	423.7789	1.408119	2.419265
810	-4192.015	-4615.144	423.1286	1.301223	2.886095
816	-4194.38	-4617.463	423.0834	1.346422	2.886095
822	-4182.435	-4605.601	423.1665	1.414644	2.794214
828	-4170.406	-4594.572	424.1656	1.443079	2.149279
834	-4155.877	-4579.971	424.0938	1.514863	2.149279
840	-4159.504	-4583.929	424.4247	1.514863	1.930004
846	-4158.859	-4582.913	424.0541	1.473659	2.201781
852	-4159.332	-4582.545	423.2131	1.36532	2.795877
858	-4173.641	-4596.761	423.1199	1.407346	2.826996
864	-4188.536	-4612.506	423.9695	1.511344	2.232079
870	-4186.342	-4611.122	424.7797	1.608109	1.617594
876	-4187.931	-4612.377	424.4458	1.651617	1.822435
882	-4179.849	-4604.275	424.4251	1.504447	1.936741
888	-4181.717	-4606.142	424.4251	1.504447	1.936741
894	-4187.645	-4612.592	424.9471	1.622259	1.483563
900	-4171.863	-4597.038	425.1752	1.804587	1.151783
906	-4196.361	-4621.427	425.0661	1.70035	1.330653
912	-4188.556	-4613.582	425.0257	1.740758	1.330653
918	-4188.217	-4613.18	424.9634	1.740758	1.379996
924	-4184.071	-4609.047	424.976	1.740758	1.370124
930	-4176.758	-4601.443	424.6846	1.688427	1.628255
936	-4177.322	-4602.068	424.7454	1.623841	1.631046
942	-4180.085	-4604.062	423.9769	1.616274	2.159328
948	-4179.068	-4602.882	423.8139	1.431959	2.382077
954	-4173.265	-4596.737	423.4716	1.365484	2.637379
960	-4180.034	-4603.428	423.3946	1.476247	2.616537
